filename;Type;Strain;Rep;full_name;species
20220922_LFX_RH_037_RH110_P2_SPEMeOH_D01_1_pos.mzML;incub;SAS56;rep2;incub_SAS56_rep2;B. cinerea(SAS56)
20220922_LFX_RH_082_RH110_P2_SPEMeOH_G10_1_pos.mzML;incub;SAS56;rep3;incub_SAS56_rep3;B. cinerea(SAS56)
20220922_LFX_RH_005_RH110_P2_SPEMeOH_A05_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_014_RH110_P2_SPEMeOH_B02_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_015_RH110_P1_SPEMeOH_B03_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_024_RH110_P1_SPEMeOH_B12_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_029_RH110_P2_SPEMeOH_C05_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_031_RH110_P1_SPEMeOH_C07_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_033_RH110_P2_SPEMeOH_C09_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_034_RH110_P2_SPEMeOH_C10_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_041_RH110_P1_SPEMeOH_D05_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_049_RH110_P2_SPEMeOH_E01_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_050_RH110_P1_SPEMeOH_E02_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_057_RH110_P1_SPEMeOH_E09_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_057_RH110_P2_SPEMeOH_E09_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_059_RH110_P2_SPEMeOH_E11_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_064_RH110_P2_SPEMeOH_F04_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_072_RH110_P2_SPEMeOH_F12_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_076_RH110_P2_SPEMeOH_G04_1_pos.mzML;medium;;;medium__;
20220922_LFX_RH_080_RH110_P2_SPEMeOH_G08_1_pos.mzML;medium;;;medium__;
